First_Name,Last_Name,Age,School_Name,School_Address,School_ZipCode,Parents_Salary,Parents_Occupation,Weight,Size,Feet_size,Eye_color,Hair_color,Previous_year_grades,Current_year_grades
Michael,Young,5,School E,Street E 202,56789,10631.575,Teacher,73.9,140.9,39,Brown,Black,2.6,10.0
Tracie,Boyd,7,School A,Street A 123,12345,12569.471,Engineer,22.1,139.5,42,Blue,Blonde,3.6,5.4
Kara,Lynch,22,School K,Street K 789,34667,7091.42,Nurse,46.5,184.8,38,Brown,Red,9.5,2.8
Kyle,Smith,15,School H,Street H 789,67890,940.986,Unemployed,46.2,150.4,34,Brown,Brown,7.1,2.8
Sherry,Juarez,8,School B,Street B 456,23456,9148.79,Nurse,29.8,170.6,36,Brown,Black,6.8,5.6
Laura,Spencer,5,School G,Street G 456,12654,11217.436,Nurse,72.8,111.9,36,Blue,Red,8.8,5.2
Amber,Brown,8,School B,Street B 456,23456,9602.053,Engineer,46.4,108.5,39,Brown,Black,8.7,3.4
Xavier,Munoz,26,School B,Street B 456,23456,5241.397,Engineer,72.7,149.9,34,Blue,Brown,8.2,6.3
Joshua,Espinoza,9,School C,Street C 789,34567,1251.323,Unemployed,36.5,199.6,36,Green,Blonde,8.8,8.1
Brandy,Pennington,12,School E,Street E 202,56789,18166.659,Lawyer,60.4,167.9,42,Green,Brown,3.5,3.5
Christopher,Snyder,6,School F,Street F 123,12456,10238.69,Nurse,53.3,132.0,37,Blue,Black,8.9,4.8
Lindsey,Smith,7,School E,Street E 202,56789,423.274,Unemployed,79.4,183.3,36,Blue,Blonde,6.1,5.7
Sandra,Lopez,11,School D,Street D 101,45678,33055.444,Doctor,26.6,108.0,37,Blue,Red,8.1,8.0
Vanessa,Tucker,17,School A,Street A 123,12345,20484.81,Doctor,20.7,128.1,36,Brown,Blonde,3.9,7.8
Ralph,Webb,10,School E,Street E 202,56789,9251.558,Teacher,36.7,161.7,39,Green,Blonde,5.6,7.0
George,Clark,5,School B,Street B 456,23456,18640.198,Engineer,24.2,110.5,38,Green,Blonde,6.6,6.7
Audrey,Perez,10,School M,Street M 202,56779,18576.356,Lawyer,26.2,186.0,39,Blue,Black,3.8,7.1
Thomas,Acosta,24,School C,Street C 789,34567,9395.701,Nurse,42.6,164.1,40,Blue,Brown,8.4,9.4
Jacob,Saunders,21,School B,Street B 456,23456,16525.088,Lawyer,76.8,108.7,41,Green,Brown,2.7,9.6
Robert,Dennis,24,School C,Street C 789,34567,20129.062,Lawyer,79.0,113.2,35,Brown,Black,7.3,2.0
Nicholas,Garza,21,School D,Street D 101,45678,729.609,Unemployed,62.7,105.2,39,Blue,Red,7.9,6.6
Jason,Perez,19,School E,Street E 202,56789,14267.971,Lawyer,25.1,179.7,38,Blue,Brown,6.0,2.2
Michael,Garrison,18,School H,Street H 789,67890,31048.669,Doctor,51.1,150.8,37,Brown,Black,5.0,4.3
Jeffery,Ruiz,6,School D,Street D 101,45678,1249.181,Unemployed,70.6,128.9,42,Green,Red,6.8,4.0
Bobby,Brooks,12,School L,Street L 101,45789,8580.391,Teacher,31.4,163.1,39,Green,Blonde,3.3,9.1
Jacqueline,Fox,18,School K,Street K 789,34667,1097.481,Unemployed,72.9,188.2,37,Blue,Brown,8.5,7.7
Maria,Mcclure,4,School B,Street B 456,23456,5868.141,Engineer,42.6,153.1,39,Green,Black,9.6,9.2
Alexis,Williams,1,School C,Street C 789,34567,12977.277,Lawyer,28.8,172.2,37,Brown,Black,7.7,3.6
Drew,Torres,20,School L,Street L 101,45789,9965.445,Nurse,56.8,154.2,36,Blue,Blonde,5.4,5.5
Alexander,Valenzuela,26,School A,Street A 123,12345,348.921,Unemployed,53.7,189.3,35,Blue,Brown,4.9,3.5
Danielle,Dalton,21,School C,Street C 789,34567,11589.145,Teacher,28.8,148.3,42,Green,Black,2.0,2.2
Tony,Gomez,23,School D,Street D 101,45678,13223.119,Nurse,72.5,105.7,40,Blue,Red,6.2,2.6
Mary,Wall,19,School A,Street A 123,12345,41058.571,Doctor,46.5,167.2,39,Green,Red,5.9,8.6
Misty,Frank,19,School M,Street M 202,56779,25159.655,Lawyer,64.8,173.1,39,Brown,Blonde,3.4,2.3
Jake,Rose,23,School F,Street F 123,12456,21227.713,Lawyer,32.2,155.5,37,Blue,Black,6.5,5.1
Steven,Cook,10,School C,Street C 789,34567,5546.271,Teacher,33.6,176.4,41,Green,Red,9.3,3.1
Eric,Sanders,4,School F,Street F 123,12456,21639.155,Doctor,62.6,134.1,37,Green,Red,9.3,3.2
Philip,Carrillo,0,School C,Street C 789,34567,11298.839,Teacher,39.8,156.4,41,Blue,Black,7.1,7.8
Adam,Kemp,7,School A,Street A 123,12345,32554.08,Lawyer,47.5,199.2,35,Brown,Brown,9.6,4.8
James,Davenport,2,School D,Street D 101,45678,14985.354,Engineer,68.7,125.3,41,Green,Red,9.8,3.5
Angela,Olson,16,School E,Street E 202,56789,17035.661,Engineer,74.9,112.4,37,Blue,Blonde,8.6,9.6
Austin,Kelly,2,School A,Street A 123,12345,11708.15,Teacher,78.4,150.9,41,Blue,Red,2.4,2.2
Justin,Woods,3,School J,Street J 202,56789,14917.556,Engineer,28.2,112.0,42,Green,Black,4.0,9.4
Christopher,Martinez,1,School F,Street F 123,12456,1070.154,Unemployed,23.0,131.7,35,Brown,Red,6.8,4.8
Travis,Kline,20,School M,Street M 202,56779,485.928,Unemployed,22.6,129.3,38,Green,Blonde,9.7,6.0
Taylor,Dillon,23,School F,Street F 123,12456,13340.472,Nurse,53.8,157.8,39,Blue,Blonde,4.9,7.7
Krista,Welch,24,School J,Street J 202,56789,544.303,Unemployed,39.4,104.7,39,Green,Black,7.4,9.5
Vanessa,Fowler,26,School L,Street L 101,45789,712.591,Unemployed,57.5,162.3,37,Brown,Red,5.3,8.3
Deanna,Aguilar,18,School K,Street K 789,34667,568.724,Unemployed,32.9,193.7,35,Green,Blonde,7.9,9.1
Nicole,Burns,3,School C,Street C 789,34567,17832.714,Engineer,61.3,133.6,42,Green,Red,8.4,3.8
Rachel,Harris,26,School G,Street G 456,12654,10037.085,Lawyer,26.7,164.9,40,Brown,Red,8.4,8.7
Kenneth,Wagner,22,School C,Street C 789,34567,6598.459,Nurse,70.5,175.6,36,Blue,Brown,2.8,7.7
Raymond,Simmons,0,School I,Street I 101,23654,665.193,Unemployed,77.3,183.9,36,Brown,Blonde,9.1,9.5
Theresa,Hall,0,School G,Street G 456,12654,25103.956,Doctor,65.4,135.2,40,Brown,Red,3.4,8.5
Christina,Bailey,0,School L,Street L 101,45789,35014.492,Doctor,52.5,126.5,35,Green,Black,4.4,3.7
Timothy,Roach,8,School C,Street C 789,34567,6295.779,Teacher,54.2,138.9,39,Brown,Red,6.3,7.7
Diana,Lawrence,13,School A,Street A 123,12345,617.369,Unemployed,38.5,157.2,40,Blue,Brown,4.4,4.7
