First_Name,Last_Name,Age,School_Name,School_Address,School_ZipCode,Parents_Salary,Parents_Occupation,Weight,Size,Feet_size,Eye_color,Hair_color,Previous_year_grades,Current_year_grades
Christina,Phillips,8,School M,Street M 202,56779,831.033,Unemployed,28.9,128.9,40,Green,Blonde,9.6,9.7
Michael,Gilbert,12,School F,Street F 123,12456,371.2,Unemployed,55.0,145.2,35,Blue,Blonde,7.7,8.9
Henry,Brooks,23,School I,Street I 101,23654,9331.726,Teacher,57.5,132.3,38,Blue,Red,2.5,9.9
Laura,Miller,14,School J,Street J 202,56789,18683.334,Doctor,69.3,197.4,37,Brown,Brown,9.2,3.3
Deanna,Wilson,19,School M,Street M 202,56779,4471.122,Nurse,24.0,111.8,39,Blue,Brown,7.4,4.9
Brandi,Jensen,3,School B,Street B 456,23456,18849.519,Engineer,36.0,169.0,37,Brown,Brown,5.4,7.0
James,Lawrence,1,School G,Street G 456,12654,31995.063,Lawyer,25.4,158.6,40,Brown,Brown,9.4,2.2
Mark,Chase,18,School G,Street G 456,12654,11605.373,Teacher,31.5,166.6,38,Blue,Red,8.6,4.8
Deanna,Norman,18,School A,Street A 123,12345,784.117,Unemployed,57.6,146.1,37,Brown,Red,7.5,2.8
Joshua,Lee,15,School M,Street M 202,56779,537.773,Unemployed,58.0,164.7,39,Brown,Blonde,6.7,2.9
Lisa,Shields,8,School J,Street J 202,56789,839.115,Unemployed,68.1,109.4,36,Blue,Black,7.3,7.9
Gloria,Miles,21,School K,Street K 789,34667,800.424,Unemployed,53.8,115.6,37,Brown,Black,9.9,6.7
Sergio,Martin,16,School I,Street I 101,23654,13618.772,Nurse,61.8,144.2,42,Green,Brown,5.3,8.5
Dale,Melton,24,School L,Street L 101,45789,38013.496,Doctor,72.8,147.5,34,Green,Blonde,5.4,5.1
Sheena,Obrien,0,School B,Street B 456,23456,8141.828,Teacher,76.8,180.9,40,Green,Black,4.2,4.3
Judy,Villanueva,19,School B,Street B 456,23456,6436.446,Teacher,26.2,137.0,42,Brown,Blonde,5.1,3.1
Steven,Stewart,0,School M,Street M 202,56779,43299.848,Doctor,45.8,138.3,37,Brown,Blonde,9.8,8.4
Natalie,Bennett,2,School F,Street F 123,12456,42614.838,Doctor,57.9,121.5,39,Green,Black,6.6,9.2
Christopher,Jones,21,School I,Street I 101,23654,14759.586,Lawyer,59.8,140.7,34,Brown,Black,3.3,5.9
Seth,Santos,0,School I,Street I 101,23654,9802.568,Engineer,76.4,138.2,35,Brown,Black,3.6,7.4
Melissa,Frank,18,School K,Street K 789,34667,30004.278,Lawyer,70.7,186.6,37,Green,Red,7.8,6.2
Aaron,Williams,18,School J,Street J 202,56789,16244.154,Lawyer,46.3,171.3,42,Brown,Blonde,3.4,2.1
Robert,Rivera,4,School G,Street G 456,12654,1091.763,Unemployed,38.7,188.2,39,Green,Brown,2.9,3.8
Kurt,Powers,6,School C,Street C 789,34567,1380.619,Unemployed,46.4,105.8,41,Green,Red,5.7,7.6
Jennifer,Dickson,3,School A,Street A 123,12345,10220.291,Lawyer,71.9,108.2,41,Blue,Red,9.3,5.5
Deanna,Nicholson,19,School F,Street F 123,12456,13430.009,Nurse,58.9,172.9,36,Blue,Brown,9.8,8.7
Ronald,Miller,12,School I,Street I 101,23654,7345.991,Teacher,57.3,176.0,39,Green,Blonde,7.7,3.1
Donald,Ramos,26,School J,Street J 202,56789,11199.095,Teacher,58.2,158.6,37,Green,Red,7.1,6.8
Amanda,Clark,7,School E,Street E 202,56789,11633.631,Nurse,37.1,136.2,34,Blue,Blonde,8.1,2.7
Kim,Roberts,18,School K,Street K 789,34667,23289.384,Doctor,60.9,127.7,41,Blue,Black,9.5,2.1
Richard,Hendricks,3,School D,Street D 101,45678,11199.13,Lawyer,66.8,129.7,39,Blue,Black,5.1,4.2
Jeffrey,Wilson,19,School A,Street A 123,12345,736.222,Unemployed,47.6,199.3,42,Brown,Red,4.8,3.5
Karen,Gibson,12,School E,Street E 202,56789,31858.573,Lawyer,54.2,125.8,36,Brown,Brown,6.8,3.7
Sonia,Chan,0,School J,Street J 202,56789,25902.467,Doctor,69.2,129.7,39,Green,Black,4.3,2.6
Susan,Brown,21,School C,Street C 789,34567,9615.997,Teacher,67.3,190.9,38,Blue,Red,5.8,3.1
Michael,Adams,25,School B,Street B 456,23456,44337.589,Doctor,26.6,148.3,37,Green,Red,5.2,6.5
Denise,Brown,20,School H,Street H 789,67890,11524.356,Teacher,72.3,166.2,35,Blue,Black,5.0,9.6
Joan,Stanley,7,School L,Street L 101,45789,30592.591,Lawyer,52.5,118.5,38,Green,Blonde,6.3,4.7
Kristen,Soto,3,School C,Street C 789,34567,12102.469,Nurse,43.7,181.7,38,Green,Brown,7.4,2.9
James,Owens,12,School D,Street D 101,45678,629.711,Unemployed,47.0,136.7,40,Brown,Black,2.9,8.3
Dennis,Bradshaw,0,School M,Street M 202,56779,6776.667,Nurse,26.6,182.9,42,Brown,Red,8.6,4.6
Sherry,Stone,16,School G,Street G 456,12654,18298.091,Doctor,22.8,199.3,36,Brown,Blonde,6.9,6.4
Kelly,Burke,9,School D,Street D 101,45678,697.575,Unemployed,44.6,115.3,39,Green,Red,5.2,7.8
Matthew,Alvarado,19,School I,Street I 101,23654,11289.958,Lawyer,36.3,177.3,41,Brown,Blonde,9.5,9.4
Daniel,Gilbert,4,School H,Street H 789,67890,12291.659,Nurse,34.2,156.1,41,Blue,Red,7.7,4.2
Susan,Aguilar,1,School H,Street H 789,67890,16805.912,Doctor,25.3,144.5,42,Brown,Brown,6.2,7.4
Ryan,Underwood,16,School E,Street E 202,56789,1564.777,Unemployed,29.8,112.1,38,Blue,Brown,9.9,6.5
Theresa,Walton,5,School H,Street H 789,67890,9634.103,Engineer,36.6,157.8,41,Brown,Brown,7.0,7.5
Nicholas,Gordon,1,School H,Street H 789,67890,641.734,Unemployed,70.6,186.5,38,Brown,Blonde,6.2,8.5
James,Turner,6,School H,Street H 789,67890,41758.035,Doctor,74.6,127.9,36,Blue,Blonde,9.5,9.4
Amber,Harris,24,School B,Street B 456,23456,4382.058,Teacher,37.5,100.5,41,Green,Red,3.5,8.8
Jesse,Taylor,17,School B,Street B 456,23456,40332.285,Doctor,37.4,186.3,41,Green,Blonde,5.4,3.1
James,White,22,School J,Street J 202,56789,16825.892,Doctor,37.7,168.5,41,Brown,Red,6.8,6.4
William,Jones,6,School H,Street H 789,67890,10758.489,Teacher,77.0,147.4,38,Brown,Blonde,7.8,2.2
Kimberly,Pacheco,2,School A,Street A 123,12345,13025.884,Nurse,48.4,140.4,37,Blue,Red,7.2,3.4
Johnny,Chen,26,School L,Street L 101,45789,372.533,Unemployed,48.9,147.3,40,Blue,Blonde,2.7,8.8
Marcus,Hill,3,School M,Street M 202,56779,17702.029,Engineer,46.6,146.6,35,Blue,Black,6.2,9.4
Susan,Lopez,13,School E,Street E 202,56789,4013.243,Teacher,57.7,159.2,35,Blue,Red,9.0,6.4
Jared,Castillo,4,School C,Street C 789,34567,5533.585,Nurse,48.9,144.7,39,Blue,Black,9.2,6.9
Amy,Anderson,13,School H,Street H 789,67890,14278.506,Engineer,75.7,173.4,38,Green,Red,6.8,7.0
